sku;produto;categoria;unidade_medida;estoque_atual;estoque_minimo;estoque_maximo;consumo_medio_mensal;custo_unitario;lead_time_dias;fornecedor;deposito;classe_abc;data_ultima_movimentacao
SKU-2198;Capacete de segurança Série C-80;EPI;PAR;44;91;166;177;7.53;7;Atlas Componentes;CD Campinas;B;2026-07-22
SKU-2199;Óculos de segurança Série D-90;EPI;PAR;102;121;349;38;17.13;15;Eixo Forte;CD Curitiba;B;2026-04-26
SKU-2200;Fita adesiva Série E-100;Embalagens;UN;34;101;200;50;13.99;7;Delta Manutenção;CD Santos;C;2026-06-08
SKU-2201;Capacete de segurança Série A-10;EPI;PAR;68;77;282;120;46.76;15;Brasil Industrial;CD Curitiba;B;2026-04-29
SKU-2202;Mancal com rolamento Série B-20;Rolamentos;UN;37;51;110;73;7.88;7;Delta Manutenção;CD Campinas;C;2026-05-20
SKU-2203;Caixa de papelão Série C-30;Embalagens;UN;23;90;382;31;43.32;20;Conecta Suprimentos;CD Curitiba;C;2026-04-14
SKU-2204;Arruela lisa Série D-40;Fixadores;UN;23;38;175;16;16.25;10;Fornecedor Alfa;CD Campinas;C;2025-12-21
SKU-2205;Desengraxante Série E-50;Lubrificantes;L;54;89;249;73;20.37;5;Atlas Componentes;CD Campinas;B;2026-05-27
SKU-2206;Capacete de segurança Série A-60;EPI;PAR;383;63;378;168;26.57;7;Fornecedor Gama;CD Campinas;B;2026-07-14
SKU-2207;Broca de aço rápido Série B-70;Ferramentas;UN;506;120;437;25;9.81;3;Fornecedor Beta;CD Santos;C;2026-04-11
SKU-2208;Mancal com rolamento Série C-80;Rolamentos;UN;207;87;197;36;35.39;5;Delta Manutenção;CD Campinas;B;2025-11-13
SKU-2209;Óleo hidráulico Série D-90;Lubrificantes;L;414;61;128;88;14.33;10;Atlas Componentes;CD Curitiba;C;2026-02-13
SKU-2210;Protetor auricular Série E-100;EPI;PAR;401;81;322;63;9.33;7;Conecta Suprimentos;CD Campinas;B;2025-11-20
SKU-2211;Óleo de engrenagem Série A-10;Lubrificantes;L;389;110;325;75;11.12;7;Fornecedor Beta;CD Santos;B;2025-11-05
SKU-2212;Capacete de segurança Série B-20;EPI;PAR;273;70;150;159;1.67;30;Eixo Forte;CD Curitiba;B;2026-04-01
SKU-2213;Capacete de segurança Série C-30;EPI;PAR;289;134;283;78;14.56;45;Eixo Forte;CD Curitiba;B;2026-04-13
SKU-2214;Alicate universal Série D-40;Ferramentas;UN;613;126;329;160;16.99;10;Conecta Suprimentos;CD Campinas;C;2026-04-08
SKU-2215;Capacete de segurança Série E-50;EPI;PAR;222;52;197;65;14.46;7;Brasil Industrial;CD Santos;B;2026-02-04
SKU-2216;Alicate universal Série A-60;Ferramentas;UN;215;87;214;84;57.05;30;Brasil Industrial;CD Campinas;C;2026-07-18
SKU-2217;Desengraxante Série B-70;Lubrificantes;L;190;23;182;24;20.09;15;Conecta Suprimentos;CD Campinas;B;2025-11-15
SKU-2218;Protetor auricular Série C-80;EPI;PAR;289;115;221;14;47.1;3;Fornecedor Gama;CD Campinas;C;2026-01-22
SKU-2219;Porca sextavada Série D-90;Fixadores;UN;427;43;150;121;10.4;10;Fornecedor Alfa;CD Curitiba;C;2026-03-20
SKU-2220;Rolamento de rolos cônicos Série E-100;Rolamentos;UN;210;81;205;76;56.24;45;Conecta Suprimentos;CD Santos;C;2026-06-03
SKU-2221;Rolamento de rolos cônicos Série A-10;Rolamentos;UN;320;24;220;131;32.45;3;Conecta Suprimentos;CD Campinas;C;2026-07-07
SKU-2222;Sensor indutivo Série B-20;Elétrica;UN;362;121;354;141;36.89;45;Conecta Suprimentos;CD Curitiba;B;2025-12-07
SKU-2223;Disco de corte Série C-30;Ferramentas;UN;245;19;231;70;58.22;10;Fornecedor Beta;CD Santos;B;2026-03-01
SKU-2224;Porca sextavada Série D-40;Fixadores;UN;630;58;220;56;6.09;20;Fornecedor Gama;CD Santos;C;2026-04-11
SKU-2225;Chave combinada Série E-50;Ferramentas;UN;217;112;181;128;21.52;10;Fornecedor Gama;CD Santos;C;2025-11-21
SKU-2226;Rolamento autocompensador Série A-60;Rolamentos;UN;283;38;234;111;58.2;20;Brasil Industrial;CD Santos;C;2026-03-27
SKU-2227;Rolamento de rolos cônicos Série B-70;Rolamentos;UN;243;57;190;41;13.86;30;Fornecedor Beta;CD Santos;C;2026-02-04
SKU-2228;Parafuso sextavado Série C-80;Fixadores;UN;187;63;156;134;9.58;10;Fornecedor Gama;CD Campinas;B;2026-06-04
SKU-2229;Porca sextavada Série D-90;Fixadores;UN;186;73;167;47;25.7;7;Fornecedor Gama;CD Santos;C;2026-02-05
SKU-2230;Rolamento de rolos cônicos Série E-100;Rolamentos;UN;356;137;225;77;5.28;15;Fornecedor Beta;CD Santos;C;2026-01-15
SKU-2231;Caixa de papelão Série A-10;Embalagens;UN;311;95;289;118;27.15;15;Fornecedor Alfa;CD Curitiba;B;2026-05-06
SKU-2232;Filme stretch Série B-20;Embalagens;UN;376;65;336;19;16.03;45;Brasil Industrial;CD Campinas;C;2026-03-01
SKU-2233;Protetor auricular Série C-30;EPI;PAR;213;34;129;74;8.16;3;Fornecedor Gama;CD Curitiba;B;2026-04-17
SKU-2234;Broca de aço rápido Série D-40;Ferramentas;UN;538;90;374;168;12.69;3;Eixo Forte;CD Santos;C;2026-04-21
SKU-2235;Luva de proteção Série E-50;EPI;PAR;270;77;184;73;46.83;7;Fornecedor Alfa;CD Campinas;C;2026-06-11
SKU-2236;Sensor indutivo Série A-60;Elétrica;UN;215;87;159;151;53.23;3;Brasil Industrial;CD Santos;C;2026-03-27
SKU-2237;Caixa de papelão Série B-70;Embalagens;UN;657;49;356;117;5.01;20;Delta Manutenção;CD Campinas;C;2026-05-19
SKU-2238;Graxa industrial Série C-80;Lubrificantes;L;501;91;196;47;10.78;5;Fornecedor Beta;CD Santos;C;2026-08-10
SKU-2239;Parafuso Allen Série D-90;Fixadores;UN;544;76;150;93;9.67;15;Brasil Industrial;CD Santos;C;2025-12-14
SKU-2240;Pallet plástico Série E-100;Embalagens;UN;175;64;117;73;40.83;15;Fornecedor Alfa;CD Campinas;C;2026-02-10
SKU-2241;Caixa de papelão Série A-10;Embalagens;UN;115;108;262;17;738.63;20;Eixo Forte;CD Campinas;B;2026-01-21
SKU-2242;Rolamento rígido de esferas Série B-20;Rolamentos;UN;277;53;361;110;281.39;20;Conecta Suprimentos;CD Campinas;C;2026-01-02
SKU-2243;Disjuntor tripolar Série C-30;Elétrica;UN;72;66;363;25;1653.05;3;Atlas Componentes;CD Campinas;A;2026-04-02
SKU-2244;Capacete de segurança Série D-40;EPI;PAR;50;33;141;27;753.44;10;Fornecedor Gama;CD Campinas;B;2026-01-02
SKU-2245;Fita adesiva Série E-50;Embalagens;UN;337;52;342;53;298.14;7;Fornecedor Beta;CD Curitiba;C;2026-06-04
SKU-2246;Capacete de segurança Série A-60;EPI;PAR;191;108;252;117;570.83;10;Conecta Suprimentos;CD Campinas;B;2026-04-29
SKU-2247;Sensor indutivo Série B-70;Elétrica;UN;64;18;133;63;614.93;7;Delta Manutenção;CD Santos;C;2026-01-06
SKU-2248;Óculos de segurança Série C-80;EPI;PAR;178;116;182;48;1307.07;3;Conecta Suprimentos;CD Curitiba;A;2026-02-13
SKU-2249;Caixa de papelão Série D-90;Embalagens;UN;128;71;144;121;241.33;30;Conecta Suprimentos;CD Campinas;B;2026-03-14
SKU-2250;Contator industrial Série E-100;Elétrica;UN;72;67;152;114;675.27;30;Fornecedor Beta;CD Campinas;A;2025-11-19
SKU-2251;Óleo de engrenagem Série A-10;Lubrificantes;L;292;139;296;66;585.92;30;Conecta Suprimentos;CD Campinas;B;2026-04-30
SKU-2252;Desengraxante Série B-20;Lubrificantes;L;235;74;344;117;486.63;10;Fornecedor Alfa;CD Curitiba;A;2026-02-21
SKU-2253;Porca sextavada Série C-30;Fixadores;UN;318;123;438;142;1429.09;20;Fornecedor Gama;CD Campinas;B;2025-12-27
SKU-2254;Rolamento autocompensador Série D-40;Rolamentos;UN;97;85;211;132;1318.8;45;Fornecedor Beta;CD Campinas;B;2026-01-12
SKU-2255;Caixa de papelão Série E-50;Embalagens;UN;203;55;323;24;328.67;30;Fornecedor Alfa;CD Santos;A;2026-06-15
SKU-2256;Porca sextavada Série A-60;Fixadores;UN;129;74;356;13;39.6;10;Conecta Suprimentos;CD Curitiba;B;2026-01-26
SKU-2257;Broca de aço rápido Série B-70;Ferramentas;UN;149;98;361;128;307.14;5;Brasil Industrial;CD Curitiba;B;2025-12-26
SKU-2258;Mancal com rolamento Série C-80;Rolamentos;UN;170;123;281;115;173.8;20;Eixo Forte;CD Santos;B;2025-11-22
SKU-2259;Disco de corte Série D-90;Ferramentas;UN;214;87;309;52;473.9;3;Brasil Industrial;CD Campinas;A;2026-06-22
SKU-2260;Parafuso Allen Série E-100;Fixadores;UN;91;51;225;27;1497.4;10;Brasil Industrial;CD Santos;A;2026-06-26
SKU-2261;Óculos de segurança Série A-10;EPI;PAR;271;95;292;128;676.88;15;Fornecedor Gama;CD Curitiba;C;2026-07-09
SKU-2262;Protetor auricular Série B-20;EPI;PAR;76;74;176;25;1293.52;45;Fornecedor Gama;CD Santos;C;2026-05-24
SKU-2263;Contator industrial Série C-30;Elétrica;UN;84;17;84;138;1094.73;45;Eixo Forte;CD Campinas;C;2026-07-06
SKU-2264;Filme stretch Série D-40;Embalagens;UN;226;25;327;71;1299.9;30;Eixo Forte;CD Campinas;A;2026-01-16
SKU-2265;Mancal com rolamento Série E-50;Rolamentos;UN;86;57;180;117;1444.29;30;Fornecedor Alfa;CD Santos;C;2026-03-06
SKU-2266;Arruela lisa Série A-60;Fixadores;UN;132;88;245;28;1001.27;20;Fornecedor Alfa;CD Curitiba;A;2026-04-10
SKU-2267;Contator industrial Série B-70;Elétrica;UN;114;54;136;112;164.61;3;Atlas Componentes;CD Santos;C;2026-01-04
SKU-2268;Disco de corte Série C-80;Ferramentas;UN;172;106;245;131;207.25;20;Delta Manutenção;CD Santos;A;2026-01-22
SKU-2269;Capacete de segurança Série D-90;EPI;PAR;40;23;88;109;670.78;30;Delta Manutenção;CD Santos;A;2025-11-14
SKU-2270;Caixa de papelão Série E-100;Embalagens;UN;56;22;75;147;734.2;20;Eixo Forte;CD Campinas;A;2026-02-23
SKU-2271;Luva de proteção Série A-10;EPI;PAR;292;39;325;163;933.44;5;Conecta Suprimentos;CD Campinas;B;2026-02-09
SKU-2272;Óleo de engrenagem Série B-20;Lubrificantes;L;191;44;276;122;1786.42;7;Eixo Forte;CD Curitiba;A;2026-07-26
SKU-2273;Desengraxante Série C-30;Lubrificantes;L;175;133;189;151;399.26;3;Delta Manutenção;CD Curitiba;C;2025-11-12
SKU-2274;Mancal com rolamento Série D-40;Rolamentos;UN;130;39;164;83;790.6;45;Delta Manutenção;CD Santos;B;2026-03-23
SKU-2275;Pallet plástico Série E-50;Embalagens;UN;163;115;179;22;254.19;15;Brasil Industrial;CD Santos;A;2026-04-23
SKU-2276;Fita adesiva Série A-60;Embalagens;UN;101;80;317;32;1585.92;10;Eixo Forte;CD Campinas;A;2026-04-14
SKU-2277;Capacete de segurança Série B-70;EPI;PAR;242;124;369;55;218.72;30;Eixo Forte;CD Curitiba;A;2025-12-17
SKU-2278;Disjuntor tripolar Série C-80;Elétrica;UN;125;83;385;113;551.93;5;Fornecedor Gama;CD Curitiba;B;2026-07-01
SKU-2279;Óleo de engrenagem Série D-90;Lubrificantes;L;255;136;265;13;1538.0;30;Eixo Forte;CD Campinas;C;2026-05-19
SKU-2280;Alicate universal Série E-100;Ferramentas;UN;82;49;122;33;736.37;30;Conecta Suprimentos;CD Campinas;C;2026-02-22
SKU-2281;Óleo de engrenagem Série A-10;Lubrificantes;L;145;76;169;158;1384.62;3;Brasil Industrial;CD Santos;C;2026-07-29
SKU-2282;Sensor indutivo Série B-20;Elétrica;UN;296;65;380;62;823.83;5;Brasil Industrial;CD Campinas;B;2026-05-17
SKU-2283;Rolamento de rolos cônicos Série C-30;Rolamentos;UN;214;109;346;173;1482.74;20;Eixo Forte;CD Curitiba;C;2026-03-31
SKU-2284;Arruela lisa Série D-40;Fixadores;UN;297;107;412;171;340.59;15;Fornecedor Gama;CD Curitiba;C;2025-11-03
SKU-2285;Óleo de engrenagem Série E-50;Lubrificantes;L;124;15;272;128;648.15;30;Eixo Forte;CD Santos;C;2025-11-24
SKU-2286;Porca sextavada Série A-60;Fixadores;UN;35;24;79;106;1636.32;20;Atlas Componentes;CD Campinas;A;2026-01-26
SKU-2287;Caixa de papelão Série B-70;Embalagens;UN;161;38;171;59;819.88;5;Conecta Suprimentos;CD Santos;C;2025-12-11
SKU-2288;Parafuso Allen Série C-80;Fixadores;UN;209;70;215;102;1388.52;45;Fornecedor Alfa;CD Curitiba;B;2026-06-10
SKU-2289;Fita adesiva Série D-90;Embalagens;UN;158;92;161;66;1048.8;7;Eixo Forte;CD Santos;A;2025-11-25
SKU-2290;Alicate universal Série E-100;Ferramentas;UN;152;18;186;52;444.64;5;Fornecedor Beta;CD Curitiba;C;2026-05-19
SKU-2291;Rolamento autocompensador Série A-10;Rolamentos;UN;156;69;200;15;339.43;20;Conecta Suprimentos;CD Santos;A;2026-07-20
SKU-2292;Rolamento de rolos cônicos Série B-20;Rolamentos;UN;327;36;348;161;509.55;10;Fornecedor Alfa;CD Santos;B;2026-01-13
SKU-2293;Mancal com rolamento Série C-30;Rolamentos;UN;169;126;385;136;1354.37;20;Fornecedor Beta;CD Campinas;C;2026-04-18
SKU-2294;Graxa industrial Série D-40;Lubrificantes;L;184;75;254;131;897.39;5;Brasil Industrial;CD Santos;B;2026-02-11
SKU-2295;Caixa de papelão Série E-50;Embalagens;UN;238;130;450;111;413.79;30;Fornecedor Beta;CD Campinas;B;2025-11-05
SKU-2296;Óculos de segurança Série A-60;EPI;PAR;124;21;286;124;1240.06;3;Fornecedor Beta;CD Campinas;B;2026-02-23
SKU-2297;Caixa de papelão Série B-70;Embalagens;UN;120;78;131;75;537.16;20;Atlas Componentes;CD Campinas;B;2026-04-22
SKU-2298;Óleo de engrenagem Série C-80;Lubrificantes;L;174;57;174;152;1736.94;7;Brasil Industrial;CD Campinas;C;2026-07-22
SKU-2299;Disco de corte Série D-90;Ferramentas;UN;243;36;348;141;645.09;3;Conecta Suprimentos;CD Campinas;A;2026-04-19
SKU-2300;Parafuso Allen Série E-100;Fixadores;UN;183;46;186;92;1632.1;3;Brasil Industrial;CD Curitiba;C;2026-04-26
